iter	Passed	Remaining
560	79418	345277
561	79563	345151
562	79696	344973
563	79859	344924
564	79990	344738
565	80121	344552
566	80263	344411
567	80425	344355
568	80571	344234
569	80702	344047
570	80850	343931
571	80993	343798
572	81102	343517
573	81212	343241
574	81317	342949
575	81432	342693
576	81534	342386
577	81645	342121
578	81758	341861
579	81878	341631
580	82022	341503
581	82161	341349
582	82285	341139
583	82434	341031
584	82570	340868
585	82693	340650
586	82820	340453
587	82941	340228
588	83091	340124
589	83235	339994
590	83361	339793
591	83524	339740
592	83677	339647
593	83798	339424
594	83934	339263
595	84065	339081
596	84182	338843
597	84306	338636
598	84420	338385
599	84518	338073
600	84640	337857
601	84744	337571
602	84850	337291
603	84948	336982
604	85065	336744
605	85188	336535
606	85326	336387
607	85462	336229
608	85604	336091
609	85743	335945
610	85874	335769
611	85999	335568
612	86132	335397
613	86273	335257
614	86401	335068
615	86518	334838
616	86648	334658
617	86773	334456
618	86911	334307
619	87050	334161
620	87193	334030
621	87327	333866
622	87464	333713
623	87580	333478
624	87696	333247
625	87801	332970
626	87912	332722
627	88008	332413
628	88120	332168
629	88237	331939
630	88347	331689
631	88462	331455
632	88591	331271
633	88713	331067
634	88850	330914
635	88957	330654
636	89090	330488
637	89231	330351
638	89374	330223
639	89501	330037
640	89625	329837
641	89741	329612
642	89882	329477
643	90004	329270
644	90128	329074
645	90260	328906
646	90400	328766
647	90527	328582
648	90641	328348
649	90769	328166
650	90908	328025
651	91045	327876
652	91174	327695
653	91294	327488
654	91438	327364
655	91554	327141
656	91659	326877
657	91756	326585
658	91856	326306
659	91966	326063
660	92074	325813
661	92182	325561
662	92283	325289
663	92385	325019
664	92493	324769
665	92609	324551
666	92741	324386
667	92863	324186
668	92991	324009
669	93124	323849
670	93267	323724
671	93404	323580
672	93527	323384
673	93675	323277
674	93814	323138
675	93931	322923
676	94050	322718
677	94197	322605
678	94315	322396
679	94409	322103
680	94514	321850
681	94608	321558
682	94716	321313
683	94815	321042
684	94906	320742
685	95011	320491
686	95111	320223
687	95213	319961
688	95356	319839
689	95510	319752
690	95674	319700
691	95798	319512
692	95940	319386
693	96069	319215
694	96194	319033
695	96322	318861
696	96459	318719
697	96579	318517
698	96697	318313
699	96819	318122
700	96969	318020
701	97062	317734
702	97169	317495
703	97260	317200
704	97369	316967
705	97477	316733
706	97589	316509
707	97684	316233
708	97795	316006
709	97904	315775
710	98059	315694
711	98209	315595
712	98378	315556
713	98543	315504
714	98698	315419
715	98812	315205
716	98941	315039
717	99063	314850
718	99200	314709
719	99323	314523
720	99471	314417
721	99607	314274
722	99782	314251
723	99959	314238
724	100124	314184
725	100323	314235
726	100478	314150
727	100605	313977
728	100729	313794
729	100869	313663
730	100974	313422
731	101074	313166
732	101181	312931
733	101280	312672
734	101391	312451
735	101490	312192
736	101606	311986
737	101785	311976
738	101991	312045
739	102180	312063
740	102337	311985
741	102504	311935
742	102649	311815
743	102780	311656
744	102886	311420
745	103015	311254
746	103160	311137
747	103289	310972
748	103451	310908
749	103587	310763
750	103755	310712
751	103861	310479
752	103966	310241
753	104075	310018
754	104188	309804
755	104308	309614
756	104422	309405
757	104530	309178
758	104640	308957
759	104776	308814
760	104914	308677
761	105050	308532
762	105187	308394
763	105315	308228
764	105472	308144
765	105601	307980
766	105734	307829
767	105875	307700
768	106014	307565
769	106148	307417
770	106277	307253
771	106409	307098
772	106547	306962
773	106674	306791
774	106806	306638
775	106950	306516
776	107091	306388
777	107217	306216
778	107332	306015
779	107449	305818
780	107585	305673
781	107705	305486
782	107813	305266
783	107907	305004
784	108015	304783
785	108110	304525
786	108203	304262
787	108305	304023
788	108410	303797
789	108544	303650
790	108669	303476
791	108801	303324
792	108931	303166
793	109070	303033
794	109203	302884
795	109318	302686
796	109437	302499
797	109586	302391
798	109714	302229
799	109830	302034
800	109978	301925
801	110122	301807
802	110251	301647
803	110381	301488
804	110499	301299
805	110643	301179
806	110783	301052
807	110920	300913
808	111044	300739
809	111169	300569
810	111277	300353
811	111378	300118
812	111483	299894
813	111584	299661
814	111678	299407
815	111779	299175
816	111883	298949
817	111983	298712
818	112102	298530
819	112242	298399
820	112422	298378
821	112621	298405
822	112788	298347
823	112955	298291
824	113069	298093
825	113175	297872
826	113271	297628
827	113377	297410
828	113486	297199
829	113590	296977
830	113683	296727
831	113780	296485
832	113922	296363
833	114078	296275
834	114212	296132
835	114343	295980
836	114467	295810
837	114607	295680
838	114748	295556
839	114872	295386
840	115003	295233
841	115125	295059
842	115259	294916
843	115379	294736
844	115496	294550
845	115640	294432
846	115772	294283
847	115902	294131
848	116048	294016
849	116206	293934
850	116349	293812
851	116475	293649
852	116609	293507
853	116737	293348
854	116854	293162
855	116957	292939
856	117066	292733
857	117160	292492
858	117274	292298
859	117377	292077
860	117485	291871
861	117596	291671
862	117714	291489
863	117845	291339
864	117980	291201
865	118104	291034
866	118246	290909
867	118409	290840
868	118556	290730
869	118686	290576
870	118828	290454
871	118984	290364
872	119130	290251
873	119248	290071
874	119394	289958
875	119524	289806
876	119655	289655
877	119783	289499
878	119911	289342
879	120039	289185
880	120173	289044
881	120271	288816
882	120372	288594
883	120470	288366
884	120571	288144
885	120673	287927
886	120779	287720
887	120883	287507
888	121021	287375
889	121149	287218
890	121288	287090
891	121419	286940
892	121558	286812
893	121688	286662
894	121813	286498
895	121937	286336
896	122065	286179
897	122210	286064
898	122329	285889
899	122456	285731
900	122574	285553
901	122706	285407
902	122829	285240
903	122966	285108
904	123105	284980
905	123246	284854
906	123384	284722
907	123501	284542
908	123631	284392
909	123751	284219
910	123878	284064
911	124015	283930
912	124133	283753
913	124266	283609
914	124381	283427
915	124480	283207
916	124581	282991
917	124690	282795
918	124791	282581
919	124890	282362
920	125000	282166
921	125110	281973
922	125240	281824
923	125379	281696
924	125519	281570
925	125639	281400
926	125763	281238
927	125897	281099
928	126041	280981
929	126181	280855
930	126307	280698
931	126430	280535
932	126559	280384
933	126697	280253
934	126822	280095
935	126952	279945
936	127080	279794
937	127213	279652
938	127335	279487
939	127465	279338
940	127567	279129
941	127678	278941
942	127776	278724
943	127878	278514
944	127979	278304
945	128087	278110
946	128208	277943
947	128309	277732
948	128423	277552
949	128535	277366
950	128674	277237
951	128798	277079
952	128928	276932
953	129054	276778
954	129183	276628
955	129322	276501
956	129437	276323
957	129554	276147
958	129692	276018
959	129805	275836
960	129923	275665
961	130052	275516
962	130188	275384
963	130317	275234
964	130444	275082
965	130538	274861
966	130648	274671
967	130751	274469
968	130851	274261
969	130945	274040
970	131039	273820
971	131148	273630
972	131241	273408
973	131369	273258
974	131490	273094
975	131610	272930
976	131746	272796
977	131894	272690
978	132017	272530
979	132144	272380
980	132273	272232
981	132404	272090
982	132545	271967
983	132672	271817
984	132825	271718
985	132964	271593
986	133087	271433
987	133204	271261
988	133319	271086
989	133438	270920
990	133565	270769
991	133673	270580
992	133787	270404
993	133888	270202
994	134050	270122
995	134163	269943
996	134300	269814
997	134443	269694
998	134586	269576
999	134742	269484
1000	134868	269332
1001	135002	269196
1002	135162	269112
1003	135301	268985
1004	135427	268834
1005	135548	268671
1006	135688	268547
1007	135828	268423
1008	135960	268281
1009	136084	268127
1010	136195	267945
1011	136302	267756
1012	136398	267545
1013	136498	267343
1014	136598	267141
1015	136691	266924
1016	136800	266740
1017	136895	266530
1018	136998	266334
1019	137116	266168
1020	137239	266010
1021	137377	265883
1022	137493	265713
1023	137617	265558
1024	137740	265402
1025	137872	265264
1026	138015	265145
1027	138154	265020
1028	138301	264910
1029	138451	264806
1030	138587	264673
1031	138728	264551
1032	138875	264442
1033	138997	264282
1034	139130	264146
1035	139258	263999
1036	139389	263859
1037	139524	263725
1038	139651	263577
1039	139774	263421
1040	139945	263355
1041	140048	263161
1042	140147	262960
1043	140241	262750
1044	140350	262569
1045	140453	262376
1046	140560	262192
1047	140663	261999
1048	140769	261812
1049	140891	261656
1050	141023	261517
1051	141156	261380
1052	141287	261240
1053	141414	261094
1054	141548	260958
1055	141675	260812
1056	141800	260660
1057	141927	260512
1058	142045	260349
1059	142179	260215
1060	142322	260097
1061	142456	259962
1062	142609	259863
1063	142749	259740
1064	142872	259586
1065	143000	259439
1066	143110	259261
1067	143225	259092
1068	143329	258905
1069	143422	258696
1070	143524	258505
1071	143620	258303
1072	143734	258132
1073	143846	257958
1074	143958	257786
1075	144106	257677
1076	144252	257564
1077	144390	257438
1078	144520	257296
1079	144640	257137
1080	144779	257013
1081	144918	256888
1082	145038	256729
1083	145167	256587
1084	145297	256447
1085	145434	256318
1086	145564	256176
1087	145697	256042
1088	145836	255917
1089	145939	255729
1090	146042	255540
1091	146139	255341
1092	146258	255182
1093	146365	255002
1094	146475	254826
1095	146571	254627
1096	146682	254454
1097	146827	254340
1098	146971	254224
1099	147100	254081
1100	147224	253931
1101	147348	253781
1102	147489	253661
1103	147613	253510
1104	147741	253367
1105	147884	253248
1106	148019	253116
1107	148142	252965
1108	148274	252829
1109	148386	252657
1110	148525	252534
1111	148650	252385
1112	148805	252287
1113	148962	252193
1114	149087	252044
1115	149208	251890
1116	149329	251733
1117	149433	251551
1118	149541	251374
1119	149678	251245
1120	149821	251128
1121	149968	251016
1122	150100	250880
1123	150245	250765
1124	150376	250627
1125	150501	250480
1126	150631	250339
1127	150759	250197
1128	150897	250069
1129	151014	249909
1130	151144	249769
1131	151295	249664
1132	151416	249509
1133	151529	249342
1134	151640	249172
1135	151770	249032
1136	151907	248903
1137	152040	248769
1138	152156	248607
1139	152280	248457
1140	152418	248331
1141	152539	248177
1142	152664	248029
1143	152796	247893
1144	152932	247764
1145	153062	247625
1146	153175	247457
1147	153304	247316
1148	153430	247170
1149	153550	247016
1150	153686	246887
1151	153812	246740
1152	153921	246568
1153	154030	246396
1154	154133	246214
1155	154251	246054
1156	154358	245879
1157	154461	245697
1158	154560	245510
1159	154671	245341
1160	154798	245197
1161	154941	245079
1162	155075	244947
1163	155194	244791
1164	155326	244655
1165	155472	244542
1166	155596	244394
1167	155717	244242
1168	155846	244101
1169	155993	243990
1170	156121	243848
1171	156246	243702
1172	156374	243560
1173	156522	243449
1174	156653	243312
1175	156792	243188
1176	156889	242998
